about_faculty,amendments,brand,configuration,course_name,delivery_mode,demo,demo_tour,discounted_price,doubt_solving,duration,highlights,img,kit_contents,mode,offer_type,other_details,please_note,price,ratings,recording,requirements,reviews,runs_on,study_materials,technical_support,total_views,url,validity,video_language
after attaining the respect of being called a CA chose to spread and share his knowledge to the coming young students who aspire to be CA's too,If Any Will be Uploaded on Youtube,CA Bhanwar Borana,,CA / CMA Final Direct Tax (DT) Exam Oriented Fast Track Batch By CA Bhanwar Borana,"Mobile App without Hard Copy,Google Drive without Hard Copy,Mobile App with Hard Copy,Google Drive with Hard Copy",https://www.youtube.com/watch?v=hTig_rN-p1Q,"https://youtube.com/shorts/lJ_2i8JLnNg?si=bJ_Jakd_Y9bcQx3S,https://www.youtube.com/watch?v=NAZ-gWegMmA","Rs. 11,749.00",WhatsApp,"August 24 Recording -,200 Hours,Approx (82 Lectures),July 2025 Recording -,175 Hours,Approx (70-80 Lectures)",,//zeroinfy.in/cdn/shop/products/CACMAFinalNewSchemeDirectTaxExamOrientedFastTrackBatchByCABhanwarBorana_1024x1024.jpg?v=1735813155,"Video Lectures + Study Materials,Aug 24 Batch Study Kit Contains -,Compact 3.0 / Q & A Compiler,Latest Batch Study Kit Contains -,Compact 4.0 / Q & A Compiler,See Sample Compact Book Here,See Sample Compiler Book Here",,"Regular Offer Best Discount Applied Here,Pre Booking Only (Pending amount 6749 to be paid before 30th June 2025)",,"Simultaneous login on Android App and Laptop is permitted After you log out from the other device. For Eg. If you have activated in Android and now, you wish to watch the lectures in Laptop, You just have to Log out of the application in Android and Login in the application in Laptop.","Rs. 8,249.00",4.78,August 2024 / July 2025,"Laptop -,Windows 10,11 or any other higher version.,Mobile -,Android version 7.0 or higher will be required | 3 GB RAM & 32 GB Internal Memory At least will be Required.",72,Laptop / Mobile,English,"Mobile -,8585913362,Email at support@zeroinfy.in","1.5 times,on duration every lecture with unlimited clicks,(Upto 2x FF) (3 hrs lecture can be watched for 4.5 Hrs),Views extension Not Possible",https://zeroinfy.in/collections/all/products/ca-cma-final-direct-tax-fast-track-course-by-bhanwar-borana,"9 months,from the date of activation (Validity extension On Chargeable Basis)",Hindi-English Mix
"Experienced Professor with a demonstrated history of working in the accounting industry. Skilled in Internal Audit, Direct Tax, Tally ERP, Management, and Leadership. Strong education professional with a CA, Diploma in IFRS & have also cleared CFA Level 2 focused in Accounting and Finance.",If Any Will be Uploaded on Youtube,CA Aakash Kandoi,,CA Final Financial Reporting (FR) Regular Batch By CA Aakash Kandoi,"Mobile App without Hard Copy,Google Drive without Hard Copy,Mobile App with Hard Copy,Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/watch?v=5uSlKAcjXBI&list=PL7x7lxx63odg7J2YTcTlTS4pGjhAB0CwT,"https://www.youtube.com/watch?v=60aIb22a74Q,https://youtu.be/qLmJshbwKtg","Rs. 10,999.00",Telegram (Details will be shared with the download link),"270 Hours,(106 Lectures - 70% Live & 30% Recorded)",,//zeroinfy.in/cdn/shop/files/CAFinalFinancialReporting_FR_RegularBatchByCAAakashKandoi_c70a4cc0-4777-4882-8fe1-eeac845deb71_1024x1024.jpg?v=1739800727,"Video Lectures + Study Materials,Study Kit Contains,-,2 Coloured Concept Book & 2 Question Bank,&,MCQ Booklet,(Covering All Study Material Questions Including MTP RTP Past Exam Questions),Note -,'Without Hard Copy' Option Comes without any kind of Books.",,,,"Simultaneous login on Android App and Laptop is permitted After you log out from the other device. For Eg. If you have activated in Android and now, you wish to watch the lectures in Laptop, You just have to Log out of the application in Android and Login in the application in Laptop.","Rs. 10,249.00",5.00,"May 2024,( 29th May 2024 - 15th Oct 2024)","Laptop -,Windows 10,11 or any other higher version.,Mobile -,Android version 7.0 or higher will be required | 3 GB RAM & 32 GB Internal Memory At least will be Required.",5,Laptop / Mobile,English,"Mobile - 8585913362,Email at support@zeroinfy.in",1.7 times,https://zeroinfy.in/collections/all/products/ca-final-financial-reporting-fr-regular-batch-by-ca-aakash-kandoi,36 months,Hindi-English Mix
"is a Merit holder at CA Final & Inter level. He completed his 3 years of Articleship training in the field of Audit & Assurance from EY. Having secured exemption in Auditing at both levels of his CA Journey, his purpose is to enlighten you with his experience & expertise.",If Any Will be Uploaded on Youtube,CA Shubham Keswani,,CA Inter Audit Full Course By CA Shubham Keswani,"Live Batch with Hard Copy,Mobile App without Hard Copy,Google Drive without Hard Copy,Mobile App with Hard Copy,Google Drive with Hard Copy",https://www.youtube.com/playlist?list=PL7x7lxx63odiD5T0cpRXIqG6PBIAQooqF,,"Rs. 8,999.00",Send your query on 9315210818 (Telegram),"130 - 150 hours,(Approx 50-65 lectures)","Conceptual Coverage with Practical Knowledge,Fun Memory Techniques to retain for longer,80% of Questions will be Covered in Class,Tests with Evaluation Weekly,Live Connect Mentorship Sessions,Telegram Doubt Support",//zeroinfy.in/cdn/shop/products/CAInterNewSchemeAuditFullCourseByCAShubhamKeswani_1024x1024.jpg?v=1735813090,"Video Lectures + Study Materials,Study Kit Contains -,1 Notes and 1 Question Bank + Test Series with Evaluation",Google Drive | Mobile App | Pen Drive,,,"Simultaneous login on Android App and Laptop is permitted After you log out from the other device. For Eg. If you have activated in Android and now, you wish to watch the lectures in Laptop, You just have to Log out of the application in Android and Login in the application in Laptop.","Rs. 7,999.00",5.00,"Dec 2024 / July 2025,(1st July to 20th Sep | 11:30 PM to 2 PM)","Laptop -,Windows 10,11 or any other higher version.,Mobile -,Android version 8.0 or higher will be required | 3 GB RAM & 32 GB Internal Memory At least will be Required | IOS - Requires iOS 14 or above (iOS only applicable for July 25 Recording)",6,Laptop / Mobile,English,"Mobile -,8585913362,Email at support@zeroinfy.in","1.7 times,on duration every lecture with unlimited clicks,Speed Upto 2x FF,Extension of views not possible",https://zeroinfy.in/collections/all/products/ca-inter-audit-full-course-by-ca-shubham-keswani,"12 months,from the date of activation (Validity Extension On Chargeable Basis)",Hindi-English Mix
♦ For FR All Combos With CA Parveen Jindal Sir -,,Parveen Jindal Classes,"Laptop,- Windows versions 8, 8.1, and Win 10. WINDOW 11 | Minimum Ram Is Required- 4GB,Mobile -,Android 7.0 & Above with Minimum 4 GB RAM | Motorola Devices Not Supported,DO NOT SUPPORT,Windows XP, Windows Vista, Windows 7 Starter, Windows 7 Home Basic, Windows 7 N Edition, Windows 7 KN Edition, APPLE MAC BOOK, Motorola Devices. PROJECTOR AND DISPLAY SHOULD NOT BE MORE THEN 21 INCHES IN SIZE.",CA Final Financial Reporting (FR) Full Course By CA Parveen Jindal,Google Drive with Hard Copy,https://www.youtube.com/watch?v=MEcgd87c3tc&t=30s,,,CA Parveen Jindal Sir's Direct WhatsApp Number Will Be Provided (Subject Query Support Till Validity Of Lectures Only),"400 Hours,(200 lectures - Approx 2 Hours Each)",,//zeroinfy.in/cdn/shop/products/ParveenJindalNew_1024x1024.jpg?v=1610479693,"Video Lectures + Study Materials,(Hard Copy Books),Study Kit Contains -,7 Black And White Hard Copy Books,(The Material Is As Per May 2025 & Onward Attempts. Material Is Fully Fresh & Updated),Please Note - Class Handwritten Notes will be provided in Virtual format only.",,"May 25,Nov 25",,,"Rs. 13,600.00",4.78,September 2024,"Students need to submit their ID proof (e.g., Aadhaar card, Voter ID card, Passport, or Ration card) and ICAI registration letter for CA Final or Articleship via email after payment.,The parcel will be dispatched, only after receiving the documents",50,,English,"Mobile- 8929098481,Email us at support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/ca-final-financial-reporting-by-ca-parveen-jindal,"3 Years,from the date of Activation,No Extension Will Be Provided",Hindi-English Mix
♦ For IDT Exam Oriented By CA Yashvant Mangal Sir -,If Any Will be Uploaded on Youtube,Yashvant Mangal Classes,,CA Final Indirect Tax (IDT) Full Course By CA Yashvant Mangal,"Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/playlist?list=PL7x7lxx63odhP3bq9darlwQJmT9ReFZUw,,,Email at ymc.query@gmail.com,"150 Hours,(Approx 50 Lectures)",,//zeroinfy.in/cdn/shop/files/WhatsAppImage2023-07-10at17.44.46_188f0d38-8c64-406e-a653-c7763e336959_1024x1024.jpg?v=1736170132,"Video Lectures + Study Materials,Study Kit Contains -,Colorful 2 Volumes of Conceptual Learning Book, 2 Volumes of Questionnaire & MCQ book, 1 Colorful Summary Book & 1 Colorful RamBan Chartbook",,"Without Test Series,With Test Series",,,"Rs. 12,000.00",4.94,"Oct 2024,(Latest amended batch)","Laptop,: Windows 10 and 11 | 4GB RAM & 30% Free space on C Drive | DualCore and Above,Mobile,: Android Version 6 or Above | Minimum RAM 3GB and 32GB Internal | (Motorola Mobile/Tablet or Rooted devices are not supported),iPhone / iPAD,- OS Version - 12 and above,MAC BOOK - Minimum chipset M1 and above (Intel MAC Not Supported)",17,Laptop / Mobile,English,"Mobile-7425055442,Email at support@zeroinfy.in","1.5 views,on duration,Speed Up to 3x FF,Views Extension Not Possible",https://zeroinfy.in/collections/all/products/ca-final-idt-regular-course-by-ca-yashvant-mangal,"9 / 12 months,from the date of activation,Validity Extension On Chargeable Basis",Hindi-English Mix
"For CA Inter DT Fast Track EO by BB Sir,",If Any Will be uploaded on Youtube,BB Virtuals,"Laptop -,Windows 10,11 or any other higher version.,Mobile -,Android version 7.0 or higher will be required | 3 GB RAM & 32 GB Internal Memory At least will be Required.",CA / CMA Inter Direct Tax (DT) Regular Video Lectures By CA Bhanwar Borana,"Live Batch with Hard Copy,Mobile App with Hard Copy,Google Drive with Hard Copy",https://www.youtube.com/watch?v=0DF1Yi4TMfs,https://www.youtube.com/watch?v=P-pp-t7Y-W8,"Rs. 8,999.00",WhatsApp ( Send your query on 8291454999),"160 Hours,approx (61 Lectures)",,//zeroinfy.in/cdn/shop/products/CAInterNewSchemeDirectTaxRegularVideoLecturesByCABhanwarBorana_1024x1024.jpg?v=1735813303,"Video Lectures + Study Materials,Aug 2024 Batch Study Kit Contains -,2 Books (One,Compact Theory Book,|,One Compact Q&A Book,),March Batch Study Kit Contains -,1 Compact Theory Book,|,1 Compact Q&A Book & MCQ (Virtual)",,,,,"Rs. 7,999.00",4.89,"Aug 2024 / March 2025,(11th March to Mid of May | 8::45 AM to 11 AM,)",,27,Laptop / Mobile,English,"Mobile - 8585913362,Email at support@zeroinfy.in","1.5 times,on duration of every lecture (3 hrs lecture can be watched for 4.5 Hrs),Speed Upto 2x FF,Views Can Not Be Increased",https://zeroinfy.in/collections/all/products/ca-inter-direct-tax-full-course-by-ca-bhanwar-borana,"12 months,from the date of activation,Validity Extension On Chargeable Basis",Hindi-English Mix
"has teaching experience of more than 10 years and taught more than 30,000 students. He is known as ""IDT Guru"" due to his tremendous popularity amongst CA, CS, and CMA Students. Vishal Battad is one of the prominent faculty for IDT and is the founder of VSmart Academy. He is very famous for his interactive teaching style and class notes with pictorial presentation. He was the choice of 45000+ students in 2016.",If Any Will be Uploaded on Youtube,Vsmart Academy,"Laptop:,Windows,8, 8.1 & 10 |,Intel Core 3, 2.0 GHz |,4GB RAM | Minimum 20% Free space on C Drive,Mobile / Tablet,:,Andriod version 6 & above (Motorola Mobile/Tablet or Rooted,Not,Supported)",CA Final Indirect Tax (IDT) Regular In Depth Batch By CA Vishal Bhattad,"Google Drive with Hard Copy,Pen Drive with Hard Copy",,,"Rs. 12,999.00",QnA App (Provided with Course Purchase),"Aug 2024 Batch,-,150 Hours,+,25 Hrs extra practice including GST portion of paper 6,(,60 Lectures,) (,Totally amended,for May 2025 Exam covering all amendments, circulars & notifications till 31st Oct 2024)",,//zeroinfy.in/cdn/shop/files/CAFinalIndirectTax_IDT_RegularInDepthBatchByCAVishalBhattad_1024x1024.jpg?v=1738223935,"Video Lectures + Study Materials,Study Kit Contains -,GST & Custom Regular Modules, GST & Custom Regular Questioner, GST & Custom Chart Book,Virtual copy of first few chapters are provided Here",,"Flat RS.1000 Discount Applied Here,Flat RS.1000 + 1000 Discount Applied Here (Automatically Added - On Purchase of DT Reg By BB Sir and IDT Reg By VB Sir In a Single Cart)",,,"Rs. 11,999.00",4.74,Aug 2024,,57,Laptop / Mobile / Tablet,English,Email at support@zeroinfy.in,1.5 times,https://zeroinfy.in/collections/all/products/ca-final-indirect-tax-idt-in-depth-regular-ca-vishal-bhattad,"Unlimited Validity,with Free Extension (up to 2 years)",Hindi-English Mix
After attaining the respect of being called a CA chose to spread and share his knowledge to the coming young students who aspire to be CA's too,,CA Bhanwar Borana,,CA / CMA Final Direct Tax (DT) Full Course By CA Bhanwar Borana,"Mobile App with Hard Copy,Google Drive with Hard Copy,Live Batch with Hard Copy",,"https://youtube.com/shorts/lJ_2i8JLnNg?si=bJ_Jakd_Y9bcQx3S,https://www.youtube.com/watch?v=NAZ-gWegMmA,https://www.youtube.com/watch?v=y9HPcM4WCl8","Rs. 17,000.00",WhatsApp,"Aug 2024 Recording -,253 hours,(Approx 78 lectures),July 2025 Recording -,240-250 hours,(Approx 80-85 lectures)",,//zeroinfy.in/cdn/shop/files/CACMAFinalDirectTax_DT_FullCourseByCABhanwarBorana_1024x1024.jpg?v=1735813160,"Direct Tax Video Lectures +,Study Material,Aug 2024 Batch Study Kit Contains -,1 Volume of DT Bare Act Provision Book, 1 Volume of DT Q&A Compiler & 1 Volume of Direct Tax Compact 3.0,July 2025 Batch Study Kit Contains -,1 Volume of DT Bare Act Provision Book, 1 Volume of DT Q&A Compiler & 1 Volume of Direct Tax Compact 4.0,See Aug 24 Batch Sample DT Compact Book Here,See Aug 24 Batch Sample DT Compiler Book Here",,"May / June 25 (Aug 24 Recording),Nov / Dec 25 (Aug 24 Recording),May / June 26 (July 25 Recording),Nov / Dec 26 (July 25 Recording)",,"Simultaneous login on Android App and Laptop is permitted After you log out from the other device. For Eg. If you have activated in Android and now, you wish to watch the lectures in Laptop, You just have to Log out of the application in Android and Login in the application in Laptop.","Rs. 14,000.00",4.89,Aug 2024 / July 2025,"Laptop -,Windows 10,11 or any other higher version.,Mobile -,Android version 7.0 or higher will be required | 3 GB RAM & 32 GB Internal Memory At least will be Required.",35,Laptop / Mobile,English,"Mobile -,8585913362,Email at support@zeroinfy.in","1.5 times,on duration every lecture with unlimited clicks (3 hrs lecture can be watched for 4.5 Hrs)",https://zeroinfy.in/collections/all/products/ca-cma-final-direct-tax-full-course-by-ca-bhanwar-borana,12 months,Hindi-English Mix
Enroll in CA Parveen Sharma's CA Inter Advanced Accounts course to gain unparalleled insight and expertise in accountancy. Available now for aspirants aiming for success in the May '25 and Sep 25 exams and beyond. Visit Zeroinfy.in for more information and to start your journey with a legend in Accountancy.,If Any Will be uploaded on YouTube,CA Parveen Sharma,,CA Inter Advanced Accounts Full Course By CA Parveen Sharma,"Live Batch with Hard Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",,,"Rs. 16,500.00","While in a live class, most of the queries are answered but still if needed then, WhatsApp on 9810014495.","320 Hours,[,Approx 120 Lectures (50 live and 70 Recorded) - 2.7 hrs. Each]",,//zeroinfy.in/cdn/shop/files/CAInterAdvancedAccountsFullCourseByCAParveenSharma_1024x1024.jpg?v=1740233922,"Video Lectures + Study Materials,Study Kit Contains -,3 Main Modules, Handwritten Notes(Coloured), Mcqs Books, Register, Sample Paper Books, Quick Start Guide Books",,"March 25,Oct 24",,"There is no refund in any circumstances.,If the shipment gets returned due to the receiver's non-availability, re-shipment will be chargeable.,Students will get the serial key and download the link via email in the next 24 hrs after the completion of the enrolment process (24 Hours Start After 48 Hours of Order processing time).","Rs. 11,999.00",4.75,"Oct 2024 / March 2025,(Starts 10th March | Monday, Wednesday, Friday (3:00 pm to 5:30 pm) | GD Classes Link will be provided after 15th March 2025)","Live Classes,through Android/iOS / Web Browser on Laptop / Desktop,Laptop -,Original 10,11 or any other higher version with 32 or 64 Bit,|,Windows 8, Windows 7, XP, Vista, Starter, 7Basic, 7N Edition, 7KN edition, and Pirated Windows are,not supported,. You are advised not to view classes on an office laptop since it may conflict with our security features. (Viewing device For GD Classes - Windows 10/11 Laptop Only),Mobile -,Android version 7 or higher, with minimum 3GB RAM and 32GB internal Memory,Need a stable WIFI Internet with a minimum speed of 10Mbps for streaming Live classes or viewing Recorded Online Classes",24,,English,"Mobile- 9810012674,Email us at support@zeroinfy.in","Google Drive -,1.5 times,Live -,3 times,(1 live +2 backup views),Mobile App -,2 times",https://zeroinfy.in/collections/all/products/ca-inter-advanced-accounts-full-course-by-ca-parveen-sharma,"12 months,from the date of activation,Validity Can Be Extended On a Chargeable Basis",Hindi-English Mix
All your downloaded CA Final FR classes can be viewed on smartphones only except the Google drive downloaded class which can be viewed on a laptop only,,CA Parveen Sharma,,CA Final Financial Reporting (FR) Full Course By CA Parveen Sharma,"Online with Hard Copy,Google Drive with Hard Copy",https://youtu.be/239Irskzfy0,https://www.youtube.com/watch?v=3bbysRiyFfg,"Rs. 18,000.00",Call your faculty on 9810014495! Faculty prefers calling instead of sending WhatsApp messages. Calls on WhatsApp are also answered.,"300 Hrs,(110-120 Lectures approx.)","Conceptual Lectures,LMS | Test Series,100% Backup Classes,Query Support",//zeroinfy.in/cdn/shop/files/CAFinalFinancialReporting_FR_FullCourseByCAParveenSharma_ee752743-bd37-4fd8-96af-060249f1d6ea_1024x1024.jpg?v=1721041350,"Video Lectures + Study Materials,Study Kit Contains -,2 Books,Companies IND AS Rules 2015 - Mainly for Lavi & details IND AS Book (Amended till Nov 22),4 Main Modules,only Q&A 100% Study materials covered (RTP MTP covered also),1 Handwritten,Note of classes (Previous Years classes notes only with examples,Module 1,|,Module 2,|,Module 3,|,Module 4,|,Companies Act 2015,Module 1,|,Companies Act 2015 Module 2","Online App,(Includes Non Downloadable Lectures In Laptop/Desktop/Android & iOS),Google Drive,(Includes Downloadable Lectures In Laptop/Desktop)",,,There Is No Refund In Any Circumstances,"Rs. 14,900.00",4.66,"Nov 2024,(21st Nov'24 - 30th Apr'25)","Laptop / Desktop -,Windows OS (10,11 or any other higher version),Mobile -,Android version 7 or higher, with minimum 3GB RAM and 32GB internal Memory | iOS,Need a stable WIFI Internet with a minimum speed of 10Mbps for streaming Live classes or viewing Recorded Online Classes",35,,English,"Mobile- 9810012674 (Monday to Saturday 10:30 Am to 6PM),Email us at support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/ca-final-financial-reporting-full-course-by-ca-parveen-sharma,"Google Drive - 24,months,from the date of activation,Online App - 730 days,from the date of activation",Hindi-English Mix
