Name,Rating,Review,Address,Price,Phone Number,Website,Description,URL
Caspar Jakarta,4.6,"(1,703)","Jl. Jend. Sudirman No.36, Bend. Hilir, Kecamatan Tanah Abang, Jakarta, Daerah Khusus Ibukota Jakarta 10210",·Rp 250.000+,0822-1781-7881,https://www.barcelo.com/en-ww/the-orient-jakarta-a-royal-hideaway-hotel/,"Cool hangout spot offering creative Spanish dishes, a glam lounge & handcrafted cocktails.","https://www.google.com/maps/place/Caspar+Jakarta/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f739006991e5:0x509324b2bad228d6!8m2!3d-6.2158244!4d106.8162301!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgESc3BhbmlzaF9yZXN0YXVyYW504AEA!16s%2Fg%2F11lgz9sfgx?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
Bungarampai Restaurant,4.6,(721),"Jl. Teuku Cik Ditiro No.35 10, RT.10/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",·Rp 250.000+,(021) 31926224,http://bungarampai.restaurant/,,"https://www.google.com/maps/place/Bungarampai+Restaurant/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f54e85837577:0xd6ec4cd3ce8e21ed!8m2!3d-6.1985069!4d106.8373026!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgEVaW5kb25lc2lhbl9yZXN0YXVyYW504AEA!16s%2Fg%2F11rf80vz6h?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
Patio Venue & Dining,4.6,"(1,911)","Jl. Wijaya XIII No.45, RT.2/RW.5, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",·$$$,0821-1226-7787,http://www.plataran.com/patio-jakarta/,Bistro  yg meyajikan menu Italia yg otentik homecooking dengan suasana rumahan yg unik dan trendi.,"https://www.google.com/maps/place/Patio+Venue+%26+Dining/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f171c04d2629:0xde6098e855a1381f!8m2!3d-6.2495526!4d106.8018471!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgESaXRhbGlhbl9yZXN0YXVyYW504AEA!16s%2Fg%2F1yglpxzk0?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
Tom’s by Tom Aikens,4.8,"(1,581)","The Langham, Jakarta",·Rp 250.000+,(021) 27087888,https://www.langhamhotels.com/en/the-langham/jakarta/dining/toms-by-tom-aikens/,,"https://www.google.com/maps/place/Tom%E2%80%99s+by+Tom+Aikens/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f11cb46c7fab:0x5c1404d535827cd!8m2!3d-6.2272179!4d106.8064548!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgESd2VzdGVybl9yZXN0YXVyYW504AEA!16s%2Fg%2F11p16l_70n?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
Animale Restaurant,4.7,"(1,215)","MD Place 11th Floor Jl Setia Budi Selatan No 7, Setia Budi, RT 5, RT.5/RW.1, Kuningan, Setia Budi, Kuningan, Jakarta, Daerah Khusus Ibukota Jakarta 12910",·Rp 250.000+,0877-7264-6253,http://www.animalejakarta.com/,Swanky choice spotlighting unique cocktails & avant-garde American fare with a Mediterranean twist.,"https://www.google.com/maps/place/Animale+Restaurant/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f5d90eaf5113:0x4f9da8c8f833f72d!8m2!3d-6.2081718!4d106.8283927!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11h763d0vw?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
Plataran Menteng,4.6,"(4,635)","Jl. HOS. Cokroaminoto No.42 6, RT.6/RW.4, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",·Rp 250.000+,(021) 29627771,https://www.plataran.com/plataran-menteng,,"https://www.google.com/maps/place/Plataran+Menteng/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f423590651f7:0x983424b56075bd8!8m2!3d-6.1919015!4d106.8285812!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgEVaW5kb25lc2lhbl9yZXN0YXVyYW504AEA!16s%2Fg%2F11c5sw4rnx?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
Alice,4.6,(420),"District 8, SCBD, Lot 28, Senayan, Kebayoran Baru, South Jakarta City, Jakarta 12190",·Rp 250.000+,(021) 27087888,https://www.langhamhotels.com/en/the-langham/jakarta/dine/alice/,,"https://www.google.com/maps/place/Alice/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f1c09b9baf39:0x8199291683212f06!8m2!3d-6.2276013!4d106.8067177!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgERZnJlbmNoX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F11rqnsvr04?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
Jakarta Restaurant & The Courtyard,4.7,(645),"Jl. Brawijaya Raya No.26, RT.1/RW.2, Kebayoran Baru, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",·Rp 250.000+,0811-1025-999,http://www.the-dharmawangsa.com/,"Indonesian & global fare in a chic, airy hotel eatery with Art Deco accents & a leafy courtyard.","https://www.google.com/maps/place/Jakarta+Restaurant+%26+The+Courtyard/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f1774d7d38ff:0x2ce17918884152a0!8m2!3d-6.2532037!4d106.805117!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F1hc1yk4dd?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
Hermitage Jakarta Dining,4.6,(18),"Jl. Cilacap No.1, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",,0812-9991-1928,https://business.google.com/create?fp=9480028823525506318&hl=en&authuser=0&gmbsrc=id-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=id-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,,"https://www.google.com/maps/place/Hermitage+Jakarta+Dining/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f5e6c57ca77f:0x838fd3fcd6b3bd0e!8m2!3d-6.1982812!4d106.8380724!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11k9rz7rcv?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
Signatures Restaurant,4.5,(648),"Hotel Indonesia Kempinski Jakarta, Jl. M.H. Thamrin No.1, Menteng, Central Jakarta City, Jakarta 10310",·Rp 250.000+,(021) 23583898,https://www.tablecheck.com/en/kempinski-signatures/reserve/message?utm_source=website,"Buffet & a la carte offerings provided in a cozy, upscale operation within a chic hotel.","https://www.google.com/maps/place/Signatures+Restaurant/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f421963cd607:0xdea65bf3cb20aaec!8m2!3d-6.1955617!4d106.8219569!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgERYnVmZmV0X3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1tfx76cc?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
