No,baths,bedrooms,beds,guest,hosted_by,name,price,price_discount,reviews,stars,title,url
1,3,3,6,12,Rafif,RustWood Villa W/ Pool,950000,NULL,1,New,"Entire home in Kecamatan Cimenyan, Indonesia",https://www.airbnb.com/rooms/1366325220058009085?search_mode=regular_search&adults=1&check_in=2025-03-09&check_out=2025-03-14&children=0&infants=0&pets=0&source_impression_id=p3_1741298304_P36egT8ESq_Jwys6&previous_page_section_name=1000&federated_search_id=223a874d-3404-43f6-a58e-aa37ad4cc394
2,3,4,7,12,Rafif,Villa Alinda C02 by Kava Stay,800000,NULL,2,New,"Entire home in Kecamatan Lembang, Indonesia",https://www.airbnb.com/rooms/1354855359186797926?search_mode=regular_search&adults=1&check_in=2025-03-16&check_out=2025-03-21&children=0&infants=0&pets=0&source_impression_id=p3_1741298305_P3-kC6Yc5-ta5GPb&previous_page_section_name=1000&federated_search_id=223a874d-3404-43f6-a58e-aa37ad4cc394
3,1,2,4,5,Ryan Hilmi,kitanari-haeun Room: Apart Gateway Pasteur Bandung,470400,588000,35,4.97,"Entire rental unit in Kecamatan Cicendo, Indonesia",https://www.airbnb.com/rooms/1247514888298469996?search_mode=regular_search&adults=1&check_in=2025-04-19&check_out=2025-04-24&children=0&infants=0&pets=0&source_impression_id=p3_1741298305_P3275ZhOsQs73613&previous_page_section_name=1000&federated_search_id=223a874d-3404-43f6-a58e-aa37ad4cc394
4,3,3,3,9,Rafif,Sentra Villa by Kava Stay,750000,1125229,15,4.8,"Entire home in Kecamatan Sukasari, Indonesia",https://www.airbnb.com/rooms/1310112979545897865?search_mode=regular_search&adults=1&check_in=2025-03-09&check_out=2025-03-14&children=0&infants=0&pets=0&source_impression_id=p3_1741298305_P3R8E6TbSN_cb16n&previous_page_section_name=1000&federated_search_id=223a874d-3404-43f6-a58e-aa37ad4cc394
5,3.5,3,5,10,Rafif,Casa De Arumanis by Kava Stay,900000,1198854,51,4.94,"Entire home in Kecamatan Cibeunying Kaler, Indonesia",https://www.airbnb.com/rooms/1202064633303778400?search_mode=regular_search&adults=1&check_in=2025-03-16&check_out=2025-03-21&children=0&infants=0&pets=0&source_impression_id=p3_1741298305_P3PfojogWqFkfCbY&previous_page_section_name=1000&federated_search_id=223a874d-3404-43f6-a58e-aa37ad4cc394
6,1,1,1,4,Nico,City Center | Braga & BIP Mall | Studio | 4 Guests,440000,NULL,200,4.99,"Entire condo in Kecamatan Sumur Bandung, Indonesia",https://www.airbnb.com/rooms/727680275776765494?search_mode=regular_search&adults=1&check_in=2025-05-12&check_out=2025-05-17&children=0&infants=0&pets=0&source_impression_id=p3_1741298305_P3ssg4sH-dHXEaD9&previous_page_section_name=1000&federated_search_id=223a874d-3404-43f6-a58e-aa37ad4cc394
7,3,3,4,8,Rafif,Villa Tulip by Kava Stay,599000,NULL,14,4.93,"Entire home in Parongpong, Indonesia",https://www.airbnb.com/rooms/1309338660356801266?search_mode=regular_search&adults=1&check_in=2025-03-16&check_out=2025-03-21&children=0&infants=0&pets=0&source_impression_id=p3_1741298305_P3TWCWQuQTe6g5VH&previous_page_section_name=1000&federated_search_id=223a874d-3404-43f6-a58e-aa37ad4cc394
8,1,1,1,4,Luciana,La Grande Apt. | City Center | Braga | 4 Guests,400000,NULL,67,4.99,"Entire condo in Kecamatan Sumur Bandung, Indonesia",https://www.airbnb.com/rooms/1186671104572938122?search_mode=regular_search&adults=1&check_in=2025-04-20&check_out=2025-04-25&children=0&infants=0&pets=0&source_impression_id=p3_1741298305_P37yjwVYAXWptHGG&previous_page_section_name=1000&federated_search_id=223a874d-3404-43f6-a58e-aa37ad4cc394
9,1,2,2,4,Neti,Upstairs Tamanari,1080000,NULL,83,5,"Entire home in Kecamatan Bandung Wetan, Indonesia",https://www.airbnb.com/rooms/962143730936904891?search_mode=regular_search&adults=1&check_in=2025-03-08&check_out=2025-03-13&children=0&infants=0&pets=0&source_impression_id=p3_1741298305_P3554nP0ufvbbHmd&previous_page_section_name=1000&federated_search_id=223a874d-3404-43f6-a58e-aa37ad4cc394
10,5,4,4,10,Rafif,The most affordable Luxury in Bandung,1500000,2347213,129,4.85,"Entire villa in Kecamatan Coblong, Indonesia",https://www.airbnb.com/rooms/688935185818199887?search_mode=regular_search&adults=1&check_in=2025-03-09&check_out=2025-03-14&children=0&infants=0&pets=0&source_impression_id=p3_1741298305_P3eIBVQeosGdhwio&previous_page_section_name=1000&federated_search_id=223a874d-3404-43f6-a58e-aa37ad4cc394
