Title,ASIN,Url
"S & E TEACHER'S EDITION 360pcs Pre-sharpened Pencils with eraser top, No.2 pencils #2 HB pencil, Golf, Classroom, Pew, 360 counts per box",,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDI3MzM2MTY4NzAzNDYxOjE3NDU5Nzc2NDE6c3BfYXRmOjMwMDA5MTU5NjA0ODkwMjo6MDo6&url=%2FTEACHERS-Pre-sharpened-Pencils-pencils-Classroom%2Fdp%2FB0CJNSGF9S%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.ipF6Nb_jyPvG8pTjlLapGBTa63gFmVMBNNJNBgJPqDWeduIXZvqDUHbsG7bpFkIV8geqv9k8T2Sb43mNcn0m57kP9-r5eeqDbwXmFMOndGILKUlo7-o95bkJ_HHZhqV3oGCsR8Pd0UHNUVbvB3fATcQfReCSLf22Q39knrjXurVhxs5vxSB0W8LikbtEtfBUPbdOafHFPYsUDC1d7LIt-OHOrVuUtani9ddEuvrpifpoP7EYiLL7_qXnfjJH6XeYgfF1vW5s_XPU4MCw9moTHhBxU5fZ1cwXOqKMTu8AcDI.AUk9loDgaGvQNtvrDO8QrW-zcVbx8CpuMjNXd1eMK2Q%26dib_tag%3Dse%26keywords%3DPencil%26qid%3D1745977641%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Shuttle Art Wood-Cased #2 HB Pencils, 350 Pack Sharpened Yellow Pencils with Erasers, Bulk Pack Graphite Pencils for School and Teacher Supplies, Writing, Drawing and Sketching",,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDI3MzM2MTY4NzAzNDYxOjE3NDU5Nzc2NDE6c3BfYXRmOjIwMDAyNTE5MTY0MDM1MTo6MDo6&url=%2FWood-Cased-Shuttle-Art-Sharpened-Sketching%2Fdp%2FB0891SSBJT%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.ipF6Nb_jyPvG8pTjlLapGBTa63gFmVMBNNJNBgJPqDWeduIXZvqDUHbsG7bpFkIV8geqv9k8T2Sb43mNcn0m57kP9-r5eeqDbwXmFMOndGILKUlo7-o95bkJ_HHZhqV3oGCsR8Pd0UHNUVbvB3fATcQfReCSLf22Q39knrjXurVhxs5vxSB0W8LikbtEtfBUPbdOafHFPYsUDC1d7LIt-OHOrVuUtani9ddEuvrpifpoP7EYiLL7_qXnfjJH6XeYgfF1vW5s_XPU4MCw9moTHhBxU5fZ1cwXOqKMTu8AcDI.AUk9loDgaGvQNtvrDO8QrW-zcVbx8CpuMjNXd1eMK2Q%26dib_tag%3Dse%26keywords%3DPencil%26qid%3D1745977641%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Amazon Basics Woodcased Classroom #2 Pencils with Erasers, Pre-sharpened, HB Lead, Value Pack of 30 count, Orange",,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDI3MzM2MTY4NzAzNDYxOjE3NDU5Nzc2NDE6c3BfYXRmOjIwMDAxMDUwOTM1NzUzMTo6MDo6&url=%2FAmazonBasics-Pre-sharpened-Wood-Cased-Pencils%2Fdp%2FB071JM699B%2Fref%3Dsr_1_1_ffob_sspa%3Fdib%3DeyJ2IjoiMSJ9.ipF6Nb_jyPvG8pTjlLapGBTa63gFmVMBNNJNBgJPqDWeduIXZvqDUHbsG7bpFkIV8geqv9k8T2Sb43mNcn0m57kP9-r5eeqDbwXmFMOndGILKUlo7-o95bkJ_HHZhqV3oGCsR8Pd0UHNUVbvB3fATcQfReCSLf22Q39knrjXurVhxs5vxSB0W8LikbtEtfBUPbdOafHFPYsUDC1d7LIt-OHOrVuUtani9ddEuvrpifpoP7EYiLL7_qXnfjJH6XeYgfF1vW5s_XPU4MCw9moTHhBxU5fZ1cwXOqKMTu8AcDI.AUk9loDgaGvQNtvrDO8QrW-zcVbx8CpuMjNXd1eMK2Q%26dib_tag%3Dse%26keywords%3DPencil%26qid%3D1745977641%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Enday #2 Pencils Bulk - 300 Pack, Pre-Sharpened Wood-Cased Yellow Pencils with Latex-Free Eraser Top for Office and Classroom Supplies",,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDI3MzM2MTY4NzAzNDYxOjE3NDU5Nzc2NDE6c3BfYXRmOjMwMDcxMjU4MDY1MzcwMjo6MDo6&url=%2FEnday-Pencils-Bulk-Pre-Sharpened-Wood-Cased%2Fdp%2FB0C66WXKV9%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.ipF6Nb_jyPvG8pTjlLapGBTa63gFmVMBNNJNBgJPqDWeduIXZvqDUHbsG7bpFkIV8geqv9k8T2Sb43mNcn0m57kP9-r5eeqDbwXmFMOndGILKUlo7-o95bkJ_HHZhqV3oGCsR8Pd0UHNUVbvB3fATcQfReCSLf22Q39knrjXurVhxs5vxSB0W8LikbtEtfBUPbdOafHFPYsUDC1d7LIt-OHOrVuUtani9ddEuvrpifpoP7EYiLL7_qXnfjJH6XeYgfF1vW5s_XPU4MCw9moTHhBxU5fZ1cwXOqKMTu8AcDI.AUk9loDgaGvQNtvrDO8QrW-zcVbx8CpuMjNXd1eMK2Q%26dib_tag%3Dse%26keywords%3DPencil%26qid%3D1745977641%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Shuttle Art Mechanical Pencils, 210 Pack Bulk Mechanical Pencils 0.7mm Medium Point, HB #2 Lead, Assorted Barrels, Office School Supplies",,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDI3MzM2MTY4NzAzNDYxOjE3NDU5Nzc2NDE6c3BfYXRmOjMwMDIxMzg1Mzg5MzgwMjo6MDo6&url=%2FMechanical-Shuttle-Art-Assorted-Supplies%2Fdp%2FB087BWTFGP%2Fref%3Dsr_1_5_sspa%3Fdib%3DeyJ2IjoiMSJ9.ipF6Nb_jyPvG8pTjlLapGBTa63gFmVMBNNJNBgJPqDWeduIXZvqDUHbsG7bpFkIV8geqv9k8T2Sb43mNcn0m57kP9-r5eeqDbwXmFMOndGILKUlo7-o95bkJ_HHZhqV3oGCsR8Pd0UHNUVbvB3fATcQfReCSLf22Q39knrjXurVhxs5vxSB0W8LikbtEtfBUPbdOafHFPYsUDC1d7LIt-OHOrVuUtani9ddEuvrpifpoP7EYiLL7_qXnfjJH6XeYgfF1vW5s_XPU4MCw9moTHhBxU5fZ1cwXOqKMTu8AcDI.AUk9loDgaGvQNtvrDO8QrW-zcVbx8CpuMjNXd1eMK2Q%26dib_tag%3Dse%26keywords%3DPencil%26qid%3D1745977641%26sr%3D8-5-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DA4YKSJ25VQ2PM
"Amazon Basics Woodcased Classroom #2 Pencils with Erasers, Pre-sharpened, HB Lead, Value Pack of 30 count, Orange",B071JM699B,https://www.amazon.com/AmazonBasics-Pre-sharpened-Wood-Cased-Pencils/dp/B071JM699B/ref=sr_1_8?dib=eyJ2IjoiMSJ9.ipF6Nb_jyPvG8pTjlLapGBTa63gFmVMBNNJNBgJPqDWeduIXZvqDUHbsG7bpFkIV8geqv9k8T2Sb43mNcn0m57kP9-r5eeqDbwXmFMOndGILKUlo7-o95bkJ_HHZhqV3oGCsR8Pd0UHNUVbvB3fATcQfReCSLf22Q39knrjXurVhxs5vxSB0W8LikbtEtfBUPbdOafHFPYsUDC1d7LIt-OHOrVuUtani9ddEuvrpifpoP7EYiLL7_qXnfjJH6XeYgfF1vW5s_XPU4MCw9moTHhBxU5fZ1cwXOqKMTu8AcDI.AUk9loDgaGvQNtvrDO8QrW-zcVbx8CpuMjNXd1eMK2Q&dib_tag=se&keywords=Pencil&qid=1745977641&sr=8-8
"Madisi Wood-Cased #2 HB Pencils, Yellow, Pre-sharpened, Bulk Pack, 576 pencils in box",B07NW9N6W5,https://www.amazon.com/Wood-Cased-Pencils-Pre-sharpened-pencils-Madisi/dp/B07NW9N6W5/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ipF6Nb_jyPvG8pTjlLapGBTa63gFmVMBNNJNBgJPqDWeduIXZvqDUHbsG7bpFkIV8geqv9k8T2Sb43mNcn0m57kP9-r5eeqDbwXmFMOndGILKUlo7-o95bkJ_HHZhqV3oGCsR8Pd0UHNUVbvB3fATcQfReCSLf22Q39knrjXurVhxs5vxSB0W8LikbtEtfBUPbdOafHFPYsUDC1d7LIt-OHOrVuUtani9ddEuvrpifpoP7EYiLL7_qXnfjJH6XeYgfF1vW5s_XPU4MCw9moTHhBxU5fZ1cwXOqKMTu8AcDI.AUk9loDgaGvQNtvrDO8QrW-zcVbx8CpuMjNXd1eMK2Q&dib_tag=se&keywords=Pencil&qid=1745977641&sr=8-7
"Wood-Cased #2 HB Pencils, Pre-sharpened, 360 Count Bulk Pack",B0CFQJ9834,https://www.amazon.com/Rarlan-Wood-Cased-Pencils-Pre-sharpened-Count/dp/B0CFQJ9834/ref=sr_1_9?dib=eyJ2IjoiMSJ9.ipF6Nb_jyPvG8pTjlLapGBTa63gFmVMBNNJNBgJPqDWeduIXZvqDUHbsG7bpFkIV8geqv9k8T2Sb43mNcn0m57kP9-r5eeqDbwXmFMOndGILKUlo7-o95bkJ_HHZhqV3oGCsR8Pd0UHNUVbvB3fATcQfReCSLf22Q39knrjXurVhxs5vxSB0W8LikbtEtfBUPbdOafHFPYsUDC1d7LIt-OHOrVuUtani9ddEuvrpifpoP7EYiLL7_qXnfjJH6XeYgfF1vW5s_XPU4MCw9moTHhBxU5fZ1cwXOqKMTu8AcDI.AUk9loDgaGvQNtvrDO8QrW-zcVbx8CpuMjNXd1eMK2Q&dib_tag=se&keywords=Pencil&qid=1745977641&sr=8-9
"Amazon Basics Wood-Cased #2 Pencils, Pre-sharpened, HB Lead Bulk Box, 150 Count, Yellow",B071JM699P,https://www.amazon.com/AmazonBasics-Pre-sharpened-Wood-Cased-Pencils/dp/B071JM699P/ref=sr_1_6?dib=eyJ2IjoiMSJ9.ipF6Nb_jyPvG8pTjlLapGBTa63gFmVMBNNJNBgJPqDWeduIXZvqDUHbsG7bpFkIV8geqv9k8T2Sb43mNcn0m57kP9-r5eeqDbwXmFMOndGILKUlo7-o95bkJ_HHZhqV3oGCsR8Pd0UHNUVbvB3fATcQfReCSLf22Q39knrjXurVhxs5vxSB0W8LikbtEtfBUPbdOafHFPYsUDC1d7LIt-OHOrVuUtani9ddEuvrpifpoP7EYiLL7_qXnfjJH6XeYgfF1vW5s_XPU4MCw9moTHhBxU5fZ1cwXOqKMTu8AcDI.AUk9loDgaGvQNtvrDO8QrW-zcVbx8CpuMjNXd1eMK2Q&dib_tag=se&keywords=Pencil&qid=1745977641&sr=8-6
"Madisi Wood-Cased #2 HB Pencils, Yellow, Pre-sharpened, Bulk Pack, 1000 pencils",B07ZGDX5MT,https://www.amazon.com/Wood-Cased-Pencils-Yellow-Pre-sharpened-pencils/dp/B07ZGDX5MT/ref=sr_1_10?dib=eyJ2IjoiMSJ9.ipF6Nb_jyPvG8pTjlLapGBTa63gFmVMBNNJNBgJPqDWeduIXZvqDUHbsG7bpFkIV8geqv9k8T2Sb43mNcn0m57kP9-r5eeqDbwXmFMOndGILKUlo7-o95bkJ_HHZhqV3oGCsR8Pd0UHNUVbvB3fATcQfReCSLf22Q39knrjXurVhxs5vxSB0W8LikbtEtfBUPbdOafHFPYsUDC1d7LIt-OHOrVuUtani9ddEuvrpifpoP7EYiLL7_qXnfjJH6XeYgfF1vW5s_XPU4MCw9moTHhBxU5fZ1cwXOqKMTu8AcDI.AUk9loDgaGvQNtvrDO8QrW-zcVbx8CpuMjNXd1eMK2Q&dib_tag=se&keywords=Pencil&qid=1745977641&sr=8-10
